"","Default","duration","amount","installment","age","history","purpose","foreign","rent"
"62",0,15,1537,4,50,"terrible","goods/repair","foreign","FALSE"
"63",1,36,1953,4,61,"good","biz","foreign","FALSE"
"64",1,48,14421,2,25,"good","biz","foreign","FALSE"
"65",0,24,3181,4,26,"poor","goods/repair","foreign","FALSE"
"66",0,27,5190,4,48,"poor","goods/repair","foreign","FALSE"
"67",0,12,2171,2,29,"poor","goods/repair","foreign","FALSE"
"68",0,12,1007,4,22,"poor","newcar","foreign","FALSE"
"69",1,36,1819,4,37,"poor","edu","foreign","FALSE"
"70",0,36,2394,4,25,"poor","goods/repair","foreign","FALSE"
"71",0,36,8133,1,30,"poor","usedcar","foreign","FALSE"
"72",0,7,730,4,46,"terrible","goods/repair","foreign","TRUE"
"73",0,8,1164,3,51,"terrible","biz","foreign","FALSE"
"74",0,42,5954,2,41,"terrible","biz","foreign","FALSE"
"75",1,36,1977,4,40,"poor","edu","foreign","FALSE"
"76",0,12,1526,4,66,"terrible","usedcar","foreign","FALSE"
"77",1,42,3965,4,34,"poor","goods/repair","foreign","FALSE"
"78",0,11,4771,2,51,"poor","goods/repair","foreign","FALSE"
"79",0,54,9436,2,39,"good","usedcar","foreign","FALSE"
"80",0,30,3832,2,22,"poor","goods/repair","foreign","FALSE"
"81",1,24,5943,1,44,"poor","goods/repair","foreign","FALSE"
"82",0,15,1213,4,47,"poor","goods/repair","foreign","FALSE"
"83",0,18,1568,3,24,"poor","biz","foreign","TRUE"
"84",0,24,1755,4,58,"poor","biz","foreign","FALSE"
"85",0,10,2315,3,52,"poor","goods/repair","foreign","FALSE"
"86",0,12,1412,4,29,"terrible","biz","foreign","FALSE"
"87",0,18,1295,4,27,"terrible","goods/repair","foreign","FALSE"
"88",1,36,12612,1,47,"poor","edu","foreign","FALSE"
"89",0,18,2249,4,30,"poor","newcar","foreign","FALSE"
"90",1,12,1108,4,28,"good","goods/repair","foreign","FALSE"
"91",0,12,618,4,56,"terrible","goods/repair","foreign","FALSE"
"92",0,12,1409,4,54,"terrible","usedcar","foreign","FALSE"
"93",1,12,797,4,33,"terrible","goods/repair","foreign","FALSE"
"94",0,24,3617,4,20,"terrible","goods/repair","foreign","TRUE"
"95",0,12,1318,4,54,"poor","newcar","foreign","FALSE"
"96",1,54,15945,3,58,"good","biz","foreign","TRUE"
"97",0,12,2012,4,61,"terrible","edu","foreign","FALSE"
"98",0,18,2622,4,34,"poor","biz","foreign","FALSE"
"99",0,36,2337,4,36,"terrible","goods/repair","foreign","FALSE"
"100",0,20,7057,3,36,"poor","usedcar","foreign","TRUE"
"101",0,24,1469,4,41,"poor","newcar","foreign","TRUE"
"102",0,36,2323,4,24,"poor","goods/repair","foreign","TRUE"
"103",0,6,932,3,24,"poor","goods/repair","foreign","FALSE"
"104",0,9,1919,4,35,"terrible","goods/repair","foreign","TRUE"
"105",0,12,2445,2,26,"poor","usedcar","foreign","TRUE"
"106",1,24,11938,2,39,"terrible","biz","foreign","FALSE"
"107",1,18,6458,2,39,"good","newcar","foreign","FALSE"
"108",0,12,6078,2,32,"poor","newcar","foreign","FALSE"
"109",0,24,7721,1,30,"poor","goods/repair","german","FALSE"
"110",0,14,1410,1,35,"poor","biz","foreign","FALSE"
"111",0,6,1449,1,31,"poor","biz","foreign","FALSE"
"112",0,15,392,4,23,"poor","edu","foreign","TRUE"
"113",0,18,6260,3,28,"poor","newcar","foreign","TRUE"
"114",1,36,7855,4,25,"terrible","newcar","foreign","FALSE"
"115",0,12,1680,3,35,"poor","goods/repair","foreign","FALSE"
"116",0,48,3578,4,47,"terrible","goods/repair","foreign","FALSE"
"117",1,42,7174,4,30,"poor","goods/repair","foreign","FALSE"
"118",0,10,2132,2,27,"terrible","goods/repair","german","TRUE"
"119",1,33,4281,1,23,"terrible","goods/repair","foreign","FALSE"
"120",0,12,2366,3,36,"terrible","newcar","foreign","FALSE"
"121",1,21,1835,3,25,"poor","goods/repair","foreign","FALSE"
"122",0,24,3868,4,41,"terrible","usedcar","foreign","TRUE"
"123",0,12,1768,3,24,"poor","goods/repair","foreign","TRUE"
"124",0,10,781,4,63,"terrible","newcar","foreign","FALSE"
"125",1,18,1924,4,27,"poor","goods/repair","foreign","TRUE"
"126",0,12,2121,4,30,"terrible","newcar","foreign","FALSE"
"127",0,12,701,4,40,"poor","goods/repair","foreign","FALSE"
"128",1,12,639,4,30,"poor","goods/repair","foreign","FALSE"
"129",0,12,1860,4,34,"terrible","usedcar","foreign","FALSE"
"130",1,12,3499,3,29,"terrible","newcar","foreign","FALSE"
"131",0,48,8487,1,24,"poor","newcar","foreign","FALSE"
"132",1,36,6887,4,29,"poor","edu","foreign","FALSE"
"133",0,15,2708,2,27,"poor","goods/repair","foreign","FALSE"
"134",0,18,1984,4,47,"poor","goods/repair","foreign","FALSE"
"135",0,60,10144,2,21,"poor","goods/repair","foreign","FALSE"
"136",0,12,1240,4,38,"terrible","goods/repair","foreign","FALSE"
"137",0,27,8613,2,27,"poor","usedcar","foreign","FALSE"
"138",1,12,766,4,66,"poor","goods/repair","foreign","FALSE"
"139",0,15,2728,4,35,"terrible","goods/repair","foreign","FALSE"
"140",0,12,1881,2,44,"poor","goods/repair","foreign","TRUE"
"141",0,6,709,2,27,"poor","newcar","german","FALSE"
"142",0,36,4795,4,30,"poor","goods/repair","foreign","FALSE"
"143",0,27,3416,3,27,"poor","goods/repair","foreign","FALSE"
"144",1,18,2462,2,22,"poor","goods/repair","foreign","FALSE"
"145",0,21,2288,4,23,"terrible","goods/repair","foreign","FALSE"
"146",0,48,3566,4,30,"good","biz","foreign","FALSE"
"147",0,6,860,1,39,"terrible","newcar","foreign","FALSE"
"148",0,12,682,4,51,"terrible","newcar","foreign","FALSE"
"149",0,36,5371,3,28,"terrible","goods/repair","foreign","FALSE"
"150",0,18,1582,4,46,"terrible","goods/repair","foreign","FALSE"
"151",0,6,1346,2,42,"poor","goods/repair","foreign","FALSE"
"152",0,10,1924,1,38,"poor","goods/repair","german","FALSE"
"153",0,36,5848,4,24,"poor","goods/repair","foreign","FALSE"
"154",0,24,7758,2,29,"terrible","usedcar","foreign","TRUE"
"155",0,24,6967,4,36,"poor","biz","foreign","TRUE"
"156",1,12,1282,2,20,"poor","goods/repair","foreign","TRUE"
"157",0,9,1288,3,48,"terrible","goods/repair","german","FALSE"
"158",0,12,339,4,45,"good","edu","foreign","FALSE"
"159",0,24,3512,2,38,"poor","newcar","foreign","FALSE"
"160",0,6,1898,1,34,"terrible","goods/repair","foreign","FALSE"
"161",0,24,2872,3,36,"terrible","goods/repair","foreign","FALSE"
"162",0,18,1055,4,30,"terrible","newcar","foreign","FALSE"
"163",0,15,1262,4,36,"poor","goods/repair","foreign","FALSE"
"164",0,10,7308,2,70,"poor","newcar","foreign","FALSE"
"165",0,36,909,4,36,"poor","newcar","foreign","FALSE"
"166",0,6,2978,1,32,"poor","goods/repair","foreign","FALSE"
"167",1,18,1131,4,33,"poor","goods/repair","foreign","FALSE"
"168",0,11,1577,4,20,"poor","goods/repair","foreign","FALSE"
"169",0,24,3972,2,25,"poor","goods/repair","foreign","TRUE"
"170",1,24,1935,4,31,"terrible","biz","foreign","FALSE"
"171",1,15,950,4,33,"good","newcar","foreign","TRUE"
"172",0,12,763,4,26,"poor","goods/repair","foreign","FALSE"
"173",1,24,2064,3,34,"poor","goods/repair","foreign","FALSE"
"174",0,8,1414,4,33,"poor","goods/repair","german","FALSE"
"175",1,21,3414,2,26,"poor","edu","foreign","FALSE"
"176",1,30,7485,4,53,"good","usedcar","foreign","FALSE"
"177",0,12,2577,2,42,"poor","goods/repair","foreign","FALSE"
"178",0,6,338,4,52,"terrible","goods/repair","foreign","FALSE"
"179",0,12,1963,4,31,"poor","goods/repair","foreign","TRUE"
"180",0,21,571,4,65,"terrible","newcar","foreign","FALSE"
"181",1,36,9572,1,28,"poor","biz","foreign","FALSE"
"182",1,36,4455,2,30,"poor","biz","foreign","FALSE"
"183",1,21,1647,4,40,"good","newcar","foreign","FALSE"
"184",0,24,3777,4,50,"terrible","goods/repair","foreign","FALSE"
"185",1,18,884,4,36,"terrible","newcar","foreign","FALSE"
"186",0,15,1360,4,31,"terrible","goods/repair","foreign","FALSE"
"187",1,9,5129,2,74,"good","usedcar","foreign","FALSE"
"188",0,16,1175,2,68,"terrible","newcar","foreign","FALSE"
"189",1,12,674,4,20,"poor","goods/repair","foreign","FALSE"
"190",0,18,3244,1,33,"good","goods/repair","foreign","FALSE"
"191",1,24,4591,2,54,"poor","biz","foreign","FALSE"
"192",1,48,3844,4,34,"good","biz","foreign","FALSE"
"193",1,27,3915,4,36,"poor","biz","foreign","FALSE"
"194",0,6,2108,2,29,"poor","goods/repair","foreign","TRUE"
"195",1,45,3031,4,21,"poor","goods/repair","foreign","TRUE"
"196",1,9,1501,2,34,"terrible","edu","foreign","FALSE"
"197",0,6,1382,1,28,"terrible","goods/repair","foreign","FALSE"
"198",1,12,951,4,27,"poor","goods/repair","foreign","TRUE"
"199",0,24,2760,4,36,"poor","usedcar","foreign","FALSE"
"200",1,18,4297,4,40,"poor","goods/repair","foreign","FALSE"
"201",0,9,936,4,52,"terrible","edu","foreign","FALSE"
"202",0,12,1168,4,27,"poor","newcar","foreign","FALSE"
"203",0,27,5117,3,26,"poor","biz","foreign","FALSE"
"204",1,12,902,4,21,"poor","edu","foreign","TRUE"
"205",0,12,1495,4,38,"terrible","newcar","foreign","FALSE"
"206",0,30,10623,3,38,"terrible","usedcar","foreign","FALSE"
"207",0,12,1935,4,43,"terrible","goods/repair","foreign","FALSE"
"208",0,12,1424,4,26,"terrible","goods/repair","foreign","FALSE"
"209",0,24,6568,2,21,"poor","biz","foreign","FALSE"
"210",0,12,1413,3,55,"poor","usedcar","german","FALSE"
"211",0,9,3074,1,33,"terrible","goods/repair","foreign","FALSE"
"212",0,36,3835,2,45,"poor","goods/repair","foreign","FALSE"
"213",1,27,5293,2,50,"good","biz","foreign","FALSE"
"214",1,30,1908,4,66,"poor","biz","foreign","FALSE"
"215",0,36,3342,4,51,"terrible","goods/repair","foreign","FALSE"
"216",0,6,932,1,39,"terrible","edu","foreign","FALSE"
"217",0,18,3104,3,31,"good","biz","foreign","FALSE"
"218",0,36,3913,2,23,"poor","goods/repair","foreign","FALSE"
"219",0,24,3021,2,24,"poor","goods/repair","foreign","TRUE"
"220",0,10,1364,2,64,"poor","newcar","foreign","FALSE"
"221",0,12,625,4,26,"poor","goods/repair","foreign","FALSE"
"222",0,12,1200,4,23,"poor","edu","foreign","TRUE"
"223",0,12,707,4,30,"poor","goods/repair","foreign","FALSE"
"224",0,24,2978,4,32,"poor","biz","foreign","FALSE"
"225",0,15,4657,3,30,"poor","usedcar","foreign","FALSE"
"226",0,36,2613,4,27,"good","goods/repair","foreign","FALSE"
"227",1,48,10961,1,27,"poor","goods/repair","foreign","FALSE"
"228",1,12,7865,4,53,"poor","goods/repair","foreign","FALSE"
"229",1,9,1478,4,22,"poor","goods/repair","foreign","FALSE"
"230",0,24,3149,4,22,"poor","goods/repair","foreign","FALSE"
"231",1,36,4210,4,26,"poor","goods/repair","foreign","FALSE"
"232",0,9,2507,2,51,"poor","newcar","foreign","FALSE"
"233",0,12,2141,3,35,"poor","goods/repair","foreign","FALSE"
"234",0,18,866,4,25,"poor","goods/repair","foreign","FALSE"
"235",0,4,1544,2,42,"terrible","goods/repair","foreign","FALSE"
"236",1,24,1823,4,30,"poor","goods/repair","foreign","FALSE"
"237",1,6,14555,1,23,"poor","newcar","foreign","FALSE"
"238",1,21,2767,4,61,"poor","biz","foreign","TRUE"
"239",0,12,1291,4,35,"terrible","goods/repair","foreign","FALSE"
"240",0,30,2522,1,39,"poor","goods/repair","foreign","FALSE"
"241",1,24,915,4,29,"poor","newcar","foreign","FALSE"
"242",0,6,1595,3,51,"poor","goods/repair","foreign","FALSE"
"243",1,48,4605,3,24,"good","usedcar","foreign","FALSE"
"244",0,12,1185,3,27,"terrible","biz","foreign","FALSE"
"245",0,12,3447,4,35,"good","edu","foreign","FALSE"
"246",0,24,1258,4,25,"poor","biz","foreign","FALSE"
"247",0,12,717,4,52,"terrible","goods/repair","foreign","FALSE"
"248",0,6,1204,4,35,"good","newcar","german","TRUE"
"249",0,24,1925,2,26,"poor","goods/repair","foreign","FALSE"
"250",1,18,433,3,22,"poor","goods/repair","foreign","TRUE"
"251",0,6,666,3,39,"terrible","newcar","foreign","FALSE"
"252",0,12,2251,1,46,"poor","goods/repair","foreign","FALSE"
"253",1,30,2150,4,24,"poor","newcar","foreign","FALSE"
"254",0,24,4151,2,35,"poor","goods/repair","foreign","FALSE"
"255",0,9,2030,2,24,"poor","goods/repair","foreign","FALSE"
"256",0,60,7418,1,27,"poor","goods/repair","foreign","FALSE"
"257",0,24,2684,4,35,"terrible","goods/repair","foreign","FALSE"
"258",1,12,2149,4,29,"good","goods/repair","foreign","FALSE"
"259",0,15,3812,1,23,"poor","usedcar","foreign","FALSE"
"260",0,11,1154,4,57,"terrible","goods/repair","foreign","FALSE"
"261",0,12,1657,2,27,"poor","goods/repair","foreign","FALSE"
"262",0,24,1603,4,55,"poor","goods/repair","foreign","FALSE"
"263",0,18,5302,2,36,"terrible","newcar","foreign","FALSE"
"264",0,12,2748,2,57,"terrible","edu","foreign","FALSE"
"265",0,10,1231,3,32,"terrible","newcar","german","FALSE"
"266",1,15,802,4,37,"poor","goods/repair","foreign","FALSE"
"267",0,36,6304,4,36,"terrible","biz","foreign","FALSE"
"268",0,24,1533,4,38,"poor","goods/repair","foreign","FALSE"
"269",1,14,8978,1,45,"poor","newcar","german","FALSE"
"270",0,24,999,4,25,"poor","goods/repair","foreign","FALSE"
"271",0,18,2662,4,32,"poor","newcar","german","FALSE"
"272",0,12,1402,3,37,"terrible","goods/repair","foreign","TRUE"
"273",0,48,12169,4,36,"good","newcar","foreign","FALSE"
"274",1,48,3060,4,28,"poor","goods/repair","foreign","FALSE"
"275",1,30,11998,1,34,"poor","goods/repair","foreign","FALSE"
"276",0,9,2697,1,32,"poor","goods/repair","foreign","FALSE"
"277",0,18,2404,2,26,"terrible","goods/repair","foreign","FALSE"
"278",0,12,1262,2,49,"poor","goods/repair","foreign","FALSE"
"279",1,6,4611,1,32,"poor","goods/repair","foreign","FALSE"
"280",0,24,1901,4,29,"poor","goods/repair","foreign","TRUE"
"281",0,15,3368,3,23,"terrible","usedcar","foreign","TRUE"
"282",0,12,1574,4,50,"poor","goods/repair","foreign","FALSE"
"283",0,18,1445,4,49,"good","goods/repair","foreign","FALSE"
"284",0,15,1520,4,63,"terrible","goods/repair","foreign","FALSE"
"285",0,24,3878,4,37,"terrible","newcar","foreign","FALSE"
"286",0,47,10722,1,35,"poor","newcar","foreign","FALSE"
"287",0,48,4788,4,26,"poor","usedcar","foreign","FALSE"
"288",0,48,7582,2,31,"poor","biz","foreign","FALSE"
"289",0,12,1092,4,49,"poor","goods/repair","foreign","FALSE"
"290",1,24,1024,4,48,"poor","goods/repair","foreign","FALSE"
"291",0,12,1076,2,26,"poor","biz","german","FALSE"
"292",1,36,9398,1,28,"poor","usedcar","foreign","TRUE"
"293",0,24,6419,2,44,"terrible","usedcar","foreign","FALSE"
"294",0,42,4796,4,56,"terrible","usedcar","foreign","FALSE"
"295",0,48,7629,4,46,"terrible","biz","foreign","FALSE"
"296",1,48,9960,1,26,"poor","goods/repair","foreign","FALSE"
"297",0,12,4675,1,20,"poor","usedcar","foreign","TRUE"
"298",0,10,1287,4,45,"poor","newcar","german","FALSE"
"299",0,18,2515,3,43,"poor","goods/repair","foreign","FALSE"
"300",0,21,2745,3,32,"terrible","goods/repair","foreign","FALSE"
"301",0,6,672,1,54,"poor","newcar","foreign","FALSE"
"302",1,36,3804,4,42,"good","goods/repair","foreign","FALSE"
"303",1,24,1344,4,37,"terrible","newcar","foreign","FALSE"
"304",0,10,1038,4,49,"terrible","newcar","foreign","FALSE"
"305",1,48,10127,2,44,"terrible","newcar","foreign","FALSE"
"306",0,6,1543,4,33,"poor","goods/repair","foreign","FALSE"
"307",0,30,4811,2,24,"poor","usedcar","foreign","TRUE"
"308",1,12,727,4,33,"poor","goods/repair","foreign","FALSE"
"309",1,8,1237,3,24,"poor","goods/repair","foreign","FALSE"
"310",0,9,276,4,22,"poor","newcar","foreign","TRUE"
"311",0,48,5381,3,40,"poor","biz","foreign","FALSE"
"312",0,24,5511,4,25,"poor","goods/repair","foreign","FALSE"
"313",0,24,3749,2,26,"poor","goods/repair","foreign","FALSE"
"314",1,12,685,2,25,"poor","newcar","foreign","FALSE"
"315",0,4,1494,1,29,"poor","newcar","german","FALSE"
"316",1,36,2746,4,31,"good","goods/repair","foreign","FALSE"
"317",0,12,708,2,38,"poor","goods/repair","foreign","FALSE"
"318",0,24,4351,1,48,"poor","goods/repair","foreign","FALSE"
"319",0,12,701,4,32,"terrible","edu","foreign","FALSE"
"320",0,15,3643,1,27,"poor","goods/repair","foreign","FALSE"
"321",1,30,4249,4,28,"terrible","newcar","foreign","FALSE"
"322",1,24,1938,4,32,"poor","goods/repair","foreign","FALSE"
"323",0,24,2910,2,34,"poor","usedcar","foreign","FALSE"
"324",0,18,2659,4,28,"poor","goods/repair","foreign","FALSE"
"325",0,18,1028,4,36,"terrible","newcar","foreign","FALSE"
"326",0,8,3398,1,39,"terrible","newcar","german","FALSE"
"327",0,12,5801,2,49,"terrible","goods/repair","foreign","TRUE"
"328",0,24,1525,4,34,"poor","newcar","foreign","FALSE"
"329",0,36,4473,4,31,"poor","goods/repair","foreign","FALSE"
"330",0,6,1068,4,28,"poor","goods/repair","foreign","FALSE"
"331",0,24,6615,2,75,"terrible","usedcar","foreign","FALSE"
"332",1,18,1864,4,30,"terrible","edu","foreign","FALSE"
"333",1,60,7408,4,24,"poor","newcar","foreign","FALSE"
"334",1,48,11590,2,24,"terrible","usedcar","foreign","TRUE"
"335",1,24,4110,3,23,"good","goods/repair","foreign","TRUE"
"336",1,6,3384,1,44,"terrible","goods/repair","foreign","TRUE"
"337",0,13,2101,2,23,"poor","goods/repair","foreign","FALSE"
"338",1,15,1275,4,24,"poor","goods/repair","foreign","TRUE"
"339",0,24,4169,4,28,"poor","goods/repair","foreign","FALSE"
"340",0,10,1521,4,31,"poor","goods/repair","foreign","FALSE"
"341",0,24,5743,2,24,"terrible","edu","foreign","FALSE"
"342",0,21,3599,1,26,"poor","goods/repair","foreign","TRUE"
"343",0,18,3213,1,25,"poor","goods/repair","foreign","TRUE"
"344",0,18,4439,1,33,"poor","biz","foreign","FALSE"
"345",0,10,3949,1,37,"poor","newcar","foreign","FALSE"
"346",0,15,1459,4,43,"terrible","goods/repair","foreign","FALSE"
"347",0,13,882,4,23,"terrible","goods/repair","foreign","FALSE"
"348",0,24,3758,1,23,"poor","goods/repair","foreign","TRUE"
"349",0,6,1743,1,34,"poor","biz","foreign","FALSE"
"350",1,9,1136,4,32,"terrible","edu","foreign","FALSE"
"351",0,9,1236,1,23,"poor","goods/repair","foreign","TRUE"
"352",1,9,959,1,29,"poor","goods/repair","german","FALSE"
"353",0,18,3229,2,38,"terrible","usedcar","foreign","FALSE"
"354",1,12,6199,4,28,"good","goods/repair","foreign","TRUE"
"355",0,10,727,4,46,"poor","edu","foreign","FALSE"
"356",1,24,1246,4,23,"poor","newcar","foreign","FALSE"
"357",0,12,2331,1,49,"terrible","goods/repair","foreign","FALSE"
"358",1,36,4463,4,26,"poor","goods/repair","foreign","FALSE"
"359",0,12,776,4,28,"poor","goods/repair","foreign","FALSE"
"360",1,30,2406,4,23,"poor","goods/repair","foreign","TRUE"
"361",0,18,1239,4,61,"poor","edu","foreign","FALSE"
"362",0,12,3399,2,37,"poor","goods/repair","foreign","FALSE"
"363",0,12,2247,2,36,"poor","newcar","foreign","FALSE"
"364",0,6,1766,1,21,"poor","goods/repair","foreign","TRUE"
"365",1,18,2473,4,25,"poor","goods/repair","foreign","FALSE"
"366",0,12,1542,2,36,"poor","biz","foreign","FALSE"
"367",0,18,3850,3,27,"terrible","usedcar","foreign","FALSE"
"368",0,18,3650,1,22,"poor","goods/repair","foreign","TRUE"
"369",1,36,3446,4,42,"poor","goods/repair","foreign","FALSE"
"370",0,18,3001,2,40,"poor","goods/repair","foreign","TRUE"
"371",0,36,3079,4,36,"poor","newcar","foreign","FALSE"
"372",0,18,6070,3,33,"terrible","goods/repair","foreign","FALSE"
"373",0,10,2146,1,23,"terrible","goods/repair","foreign","TRUE"
"374",0,60,13756,2,63,"terrible","newcar","foreign","FALSE"
"375",1,60,14782,3,60,"good","biz","foreign","FALSE"
"376",1,48,7685,2,37,"good","biz","foreign","TRUE"
"377",0,18,2320,2,34,"poor","goods/repair","foreign","FALSE"
"378",0,7,846,3,36,"poor","goods/repair","foreign","FALSE"
"379",1,36,14318,4,57,"poor","newcar","foreign","FALSE"
"380",0,6,362,4,52,"terrible","newcar","foreign","FALSE"
"381",0,20,2212,4,39,"poor","goods/repair","foreign","FALSE"
"382",1,18,12976,3,38,"poor","usedcar","foreign","FALSE"
"383",0,22,1283,4,25,"poor","newcar","foreign","TRUE"
"384",0,12,1330,4,26,"poor","newcar","foreign","FALSE"
"385",0,30,4272,2,26,"poor","biz","foreign","FALSE"
"386",0,18,2238,2,25,"terrible","goods/repair","foreign","FALSE"
"387",0,18,1126,4,21,"poor","goods/repair","foreign","TRUE"
"388",0,18,7374,4,40,"terrible","goods/repair","foreign","FALSE"
"389",0,15,2326,2,27,"terrible","biz","foreign","FALSE"
"390",0,9,1449,3,27,"poor","biz","foreign","FALSE"
"391",0,18,1820,2,30,"poor","newcar","foreign","FALSE"
"392",0,12,983,1,19,"poor","goods/repair","foreign","TRUE"
"393",0,36,3249,2,39,"poor","newcar","foreign","FALSE"
"394",0,6,1957,1,31,"terrible","goods/repair","foreign","FALSE"
"395",0,9,2406,2,31,"terrible","goods/repair","foreign","FALSE"
"396",0,39,11760,2,32,"poor","edu","foreign","TRUE"
"397",0,12,2578,3,55,"poor","goods/repair","foreign","FALSE"
"398",0,36,2348,3,46,"terrible","goods/repair","foreign","FALSE"
"399",1,12,1223,1,46,"poor","newcar","foreign","TRUE"
"400",0,24,1516,4,43,"terrible","goods/repair","foreign","FALSE"
"401",0,18,1473,3,39,"poor","goods/repair","foreign","FALSE"
"402",0,18,1887,4,28,"terrible","biz","foreign","FALSE"
"403",1,24,8648,2,27,"poor","biz","foreign","FALSE"
"404",0,14,802,4,27,"poor","newcar","foreign","FALSE"
"405",0,18,2899,4,43,"poor","newcar","foreign","FALSE"
"406",1,24,2039,1,22,"poor","goods/repair","foreign","FALSE"
"407",0,24,2197,4,43,"terrible","usedcar","foreign","FALSE"
"408",0,15,1053,4,27,"poor","goods/repair","german","FALSE"
"409",0,24,3235,3,26,"poor","goods/repair","foreign","FALSE"
"410",1,12,939,4,28,"terrible","newcar","foreign","FALSE"
"411",0,24,1967,4,20,"poor","goods/repair","foreign","FALSE"
"412",0,33,7253,3,35,"terrible","usedcar","foreign","FALSE"
"413",1,12,2292,4,42,"terrible","biz","foreign","FALSE"
"414",0,10,1597,3,40,"poor","newcar","german","TRUE"
"415",1,24,1381,4,35,"poor","newcar","foreign","FALSE"
"416",0,36,5842,2,35,"terrible","usedcar","foreign","FALSE"
"417",1,12,2579,4,33,"poor","newcar","foreign","FALSE"
"418",0,18,8471,1,23,"poor","edu","foreign","TRUE"
"419",0,21,2782,1,31,"poor","newcar","foreign","FALSE"
"420",1,18,1042,4,33,"poor","newcar","foreign","FALSE"
"421",0,15,3186,2,20,"poor","newcar","foreign","TRUE"
"422",0,12,2028,4,30,"poor","usedcar","foreign","FALSE"
"423",0,12,958,2,47,"terrible","newcar","foreign","FALSE"
