"","booking.status","number.of.adults","number.of.children","number.of.weekend.nights","number.of.week.nights","car.parking.space","lead.time","repeated","P.C","P.not.C","average.price","special.requests","day","month","year","type.of.meal_Meal Plan 2","type.of.meal_Meal Plan 3","type.of.meal_Not Selected","room.type_Room_Type 2","room.type_Room_Type 3","room.type_Room_Type 4","room.type_Room_Type 5","room.type_Room_Type 6","room.type_Room_Type 7","market.segment.type_Complementary","market.segment.type_Corporate","market.segment.type_Offline","market.segment.type_Online"
"113",0,2,0,0,3,0,122,0,0,0,116.1,2,16,6,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"114",0,2,0,2,3,0,40,0,0,0,117.9,1,30,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"115",1,2,2,2,2,0,116,0,0,0,184.24,1,26,6,2018,0,0,0,1,0,0,0,0,0,0,0,0,1
"116",0,3,0,2,2,1,123,0,0,0,155.7,1,13,8,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"117",1,3,0,2,5,0,40,0,0,0,135.76,0,22,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"118",0,2,1,2,5,0,105,0,0,0,102.83,3,12,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"119",1,2,0,0,1,0,443,0,0,0,65,0,29,4,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"120",0,2,0,2,3,0,2,0,0,0,103,1,14,11,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"121",1,2,0,0,3,0,317,0,0,0,106.2,1,1,9,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"122",0,2,0,0,2,0,286,0,0,0,58.5,0,16,9,2018,1,0,0,0,0,0,0,0,0,0,0,1,0
"123",1,2,0,1,3,0,68,0,0,0,73.95,0,10,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"124",0,2,0,0,3,0,148,0,0,0,105.3,0,5,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"125",0,3,0,2,0,0,68,0,0,0,133.2,2,24,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"126",0,2,0,0,2,0,30,0,0,0,85.5,0,30,3,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"127",1,1,0,0,1,0,14,0,0,0,112,1,3,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"128",1,2,2,0,2,0,110,0,0,0,190.8,0,14,10,2018,0,0,0,0,0,0,0,1,0,0,0,0,1
"129",0,1,0,2,3,0,117,0,0,0,110,0,5,6,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"130",0,2,0,1,4,0,85,0,0,0,91.48,1,13,7,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"131",0,2,0,0,2,0,1,0,0,0,135,2,20,10,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"132",0,1,0,1,2,0,25,0,0,0,129,2,17,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"133",1,2,0,2,4,0,289,0,0,0,70.55,2,28,12,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"134",0,2,0,1,4,0,28,0,0,0,75,0,19,10,2017,0,0,0,0,0,1,0,0,0,0,0,1,0
"135",0,1,0,0,4,0,80,0,0,0,72.25,0,29,3,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"136",0,2,0,0,1,0,11,0,0,0,155,2,9,10,2017,0,0,0,0,0,1,0,0,0,0,0,0,1
"137",1,2,1,1,0,0,162,0,0,0,121.5,2,25,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"138",0,2,0,2,5,0,155,0,0,0,90.95,2,28,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"139",0,1,0,2,2,0,82,0,0,0,109.65,0,22,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"140",1,3,0,2,4,0,27,0,0,0,142.72,0,15,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"141",0,1,0,1,2,0,13,0,0,0,90,0,9,5,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"142",1,2,0,0,2,0,245,0,0,0,75,0,17,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"143",1,2,0,0,2,0,11,0,0,0,111,1,18,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"144",0,2,0,2,2,0,266,0,0,0,86.7,2,30,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"145",0,2,0,1,0,0,39,0,0,0,117.9,1,28,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"146",0,1,0,0,2,0,13,1,3,5,0,1,1,6,2018,0,0,0,0,0,0,0,0,0,1,0,0,0
"147",0,2,0,0,4,0,112,0,0,0,101.58,1,4,5,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"148",0,2,0,1,2,0,88,0,0,0,58.9,1,8,4,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"149",0,2,0,0,1,0,56,0,0,0,120,0,8,6,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"150",1,2,0,2,3,0,73,0,0,0,107.1,0,7,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"151",0,2,0,1,1,0,80,0,0,0,126.9,1,2,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"152",1,2,0,0,3,0,130,0,0,0,139.5,2,29,9,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"153",0,2,0,1,3,0,69,0,0,0,80.75,1,4,4,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"154",1,2,0,0,2,0,273,0,0,0,109,0,17,7,2017,1,0,0,0,0,0,0,0,0,0,0,0,1
"155",0,2,0,0,1,0,55,0,0,0,104,0,6,4,2018,1,0,0,0,0,0,0,0,0,0,0,1,0
"156",0,1,0,0,3,0,4,1,1,5,65,1,1,11,2018,0,0,0,0,0,0,0,0,0,0,1,0,0
"157",0,2,0,0,3,0,97,0,0,0,140.4,0,24,5,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"158",0,2,0,0,3,0,44,0,0,0,75,0,17,2,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"159",1,2,0,0,1,0,31,0,0,0,94.5,0,14,4,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"160",0,2,0,1,0,0,0,0,0,0,109,0,5,6,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"161",0,2,0,2,2,0,62,0,0,0,105,2,12,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"162",0,2,0,2,2,0,86,0,0,0,107.95,1,17,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"163",0,3,0,2,2,0,3,0,0,0,215.6,1,7,10,2018,0,0,0,0,0,0,0,0,1,0,0,0,1
"164",0,2,0,1,1,0,197,0,0,0,85.5,1,1,8,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"165",0,2,0,0,2,0,143,0,0,0,105.3,2,12,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"166",0,1,0,2,1,0,23,0,0,0,1,0,2,1,2018,1,0,0,0,0,0,0,0,0,0,0,0,1
"167",1,2,0,0,2,0,8,0,0,0,156,0,15,6,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"168",0,1,0,0,2,0,13,0,0,0,73.15,1,16,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"169",1,2,0,1,2,0,280,0,0,0,110,0,19,9,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"170",0,2,1,1,0,0,11,0,0,0,87.4,1,13,9,2017,0,0,1,0,0,0,0,0,0,0,0,0,1
"171",1,2,0,0,2,0,317,0,0,0,120,0,15,9,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"172",1,2,0,1,2,0,185,0,0,0,79.2,0,16,12,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"173",0,2,0,1,3,0,160,0,0,0,90.95,1,30,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"174",0,2,0,0,4,0,104,0,0,0,91.48,1,18,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"175",1,2,1,0,1,0,11,0,0,0,150,1,5,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"176",0,2,0,0,1,0,2,0,0,0,89,0,22,3,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"177",0,2,0,1,4,0,14,0,0,0,91.43,1,17,8,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"178",0,2,0,0,2,0,22,0,0,0,140,0,20,5,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"179",0,1,1,2,5,0,37,0,0,0,87.78,0,24,10,2017,0,0,1,0,0,0,0,0,0,0,0,0,1
"180",1,2,0,0,2,0,292,0,0,0,115,0,21,7,2018,1,0,0,0,0,0,0,0,0,0,0,0,1
"181",0,2,0,0,3,0,11,0,0,0,80.85,1,9,9,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"182",0,2,0,1,3,0,86,0,0,0,82.45,1,31,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"183",1,2,0,0,1,0,109,0,0,0,108,0,11,10,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"184",0,2,0,1,1,0,72,0,0,0,96.3,1,2,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"185",1,2,0,1,5,0,196,0,0,0,99.45,0,22,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"186",0,2,0,0,2,0,56,0,0,0,140.4,1,13,5,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"187",0,2,0,1,3,0,189,0,0,0,72.25,0,8,8,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"188",0,2,0,1,4,0,126,0,0,0,126,0,15,8,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"189",1,2,0,2,3,0,303,0,0,0,78,0,19,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"190",0,1,0,2,2,0,81,0,0,0,146.6,1,6,11,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"191",1,2,0,1,2,0,54,0,0,0,118.8,0,10,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"192",1,1,0,0,1,0,15,0,0,0,145,0,6,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"193",1,2,0,0,4,0,86,0,0,0,84.58,0,6,4,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"194",1,2,0,1,2,0,161,0,0,0,130,0,25,3,2018,1,0,0,0,0,0,0,0,0,0,0,0,1
"195",1,2,0,4,10,0,147,0,0,0,118.88,1,3,8,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"196",0,2,0,1,2,0,92,0,0,0,101.52,0,30,5,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"197",1,2,0,0,1,0,87,0,0,0,100,0,11,9,2017,0,0,0,0,0,0,0,0,0,0,1,0,0
"198",0,2,0,2,1,0,109,0,0,0,58,0,20,3,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"199",0,2,0,0,4,0,127,0,0,0,61.5,2,23,3,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"200",1,2,0,1,2,0,418,0,0,0,107,0,26,9,2018,1,0,0,0,0,0,0,0,0,0,0,0,1
"201",0,2,0,1,4,0,156,0,0,0,87.3,1,24,8,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"202",1,2,0,0,2,0,80,0,0,0,76.5,1,16,7,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"203",1,2,0,2,2,0,211,0,0,0,63.75,0,16,12,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"204",1,2,0,1,2,0,273,0,0,0,95,0,13,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"205",0,2,0,2,1,0,58,0,0,0,75,1,19,11,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"206",1,2,0,0,3,0,433,0,0,0,70,0,8,9,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"207",0,2,0,1,3,0,111,0,0,0,101.58,1,2,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"208",0,2,0,2,3,0,34,0,0,0,85,0,21,8,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"209",0,2,0,2,4,0,17,0,0,0,98.39,0,3,12,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"210",0,1,0,0,0,0,4,0,0,0,0,1,27,2,2018,0,0,0,0,0,0,0,0,0,1,0,0,0
"211",0,2,0,0,3,0,6,0,0,0,106.07,1,22,9,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"212",0,2,0,1,1,0,32,0,0,0,105,1,18,7,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"213",0,2,0,0,1,0,4,0,0,0,145,2,22,9,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"214",1,3,0,2,1,0,195,0,0,0,106.03,1,13,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"215",0,2,0,2,2,0,119,0,0,0,114.3,1,13,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"216",0,1,0,1,1,0,13,0,0,0,88,0,5,12,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"217",0,2,0,0,2,0,59,0,0,0,89.25,2,15,10,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"218",0,2,1,2,5,0,78,0,0,0,86.32,1,20,3,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"219",0,2,0,0,3,0,335,0,0,0,90,1,13,10,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"220",0,2,0,2,5,0,103,0,0,0,55.96,0,22,8,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"221",0,1,0,0,2,0,0,0,0,0,109,1,8,6,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
